City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,falam,22.9167,93.6833,294.05,98,100,0.91,MM,1720385348
123,dauphin,51.1494,-100.0502,298.23,65,0,3.6,CA,1720385349
124,weinan,34.5036,109.5089,296.42,96,100,2.31,CN,1720385350
125,lebu,-37.6167,-73.65,282.26,78,1,7.46,CL,1720385351
126,mendoza,-32.8908,-68.8272,280.89,31,0,2.57,AR,1720385119
127,tibati,6.4667,12.6333,292.38,96,66,0.73,CM,1720385354
128,sur,22.5667,59.5289,306.66,48,89,5.51,OM,1720385355
129,papao,-17.75,-149.55,300.97,81,47,9.09,PF,1720385356
130,khulm,36.6974,67.6983,303.44,17,0,3.71,AF,1720385358
131,rongelap,11.1635,166.8941,301.15,80,35,6.89,MH,1720385360
132,dwarka,22.2394,68.9678,302.19,82,100,7.64,IN,1720385361
133,salekhard,66.53,66.6019,289.02,79,70,0.4,RU,1720385362
134,isla mujeres,21.2311,-86.731,303.24,77,69,5.48,MX,1720385363
135,atasu,48.6814,71.6433,289.68,88,97,4.44,KZ,1720385364
136,kulhudhuffushi,6.6221,73.07,300.14,82,100,9.22,MV,1720385365
137,new norfolk,-42.7826,147.0587,276.32,97,0,1.18,AU,1720385367
138,stanley,54.868,-1.6985,285.66,89,20,1.03,GB,1720385368
139,bubaque,11.2833,-15.8333,299.75,80,100,7.81,GW,1720385369
140,udachny,66.4167,112.4,291.44,75,60,2.88,RU,1720385370
141,ilulissat,69.2167,-51.1,288.16,36,75,6.69,GL,1720385371
142,sars,56.5502,57.1366,289.13,96,100,4.16,RU,1720385372
143,centerville,39.6284,-84.1594,304.22,47,20,3.09,US,1720385374
144,colonia,50.9333,6.95,290.02,71,0,1.54,DE,1720385375
145,licheng,23.2955,113.8284,298.58,94,29,1.07,CN,1720385376
146,yei,4.095,30.6779,292.71,94,98,1.18,SS,1720385377
147,high springs,29.8269,-82.5968,305.58,61,100,4.31,US,1720385378
148,ocampo,21.65,-101.5,299.79,27,5,3.03,MX,1720385379
149,freetown,8.484,-13.2299,298.12,88,100,5.17,SL,1720385381
150,kaa-khem,51.6833,94.7333,291.67,73,100,0.84,RU,1720385382
151,bilibino,68.0546,166.4372,281.69,89,100,1.29,RU,1720385383
152,angra dos reis,-23.0067,-44.3181,292.27,93,46,0.96,BR,1720385384
153,ajdabiya,30.7554,20.2263,299.37,59,0,7.39,LY,1720385385
